date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2025-03-30,2025,3,30,Sunday,6,True,False,False,False,False,False,2,2
2025-03-31,2025,3,31,Monday,0,False,True,False,True,False,False,2,0
2025-04-01,2025,4,1,Tuesday,1,False,True,False,True,False,False,1,0
2025-04-02,2025,4,2,Wednesday,2,False,False,False,True,False,False,1,1
2025-04-03,2025,4,3,Thursday,3,False,False,False,True,False,False,1,2
2025-04-04,2025,4,4,Friday,4,False,True,False,True,False,False,1,0
2025-04-05,2025,4,5,Saturday,5,True,False,False,False,False,False,1,1
2025-04-06,2025,4,6,Sunday,6,True,False,False,False,False,False,1,2
2025-04-07,2025,4,7,Monday,0,False,False,False,True,False,False,1,3
2025-04-08,2025,4,8,Tuesday,1,False,False,False,True,False,False,1,4
2025-04-09,2025,4,9,Wednesday,2,False,False,False,True,False,False,1,5
2025-04-10,2025,4,10,Thursday,3,False,False,False,True,False,False,1,6
2025-04-11,2025,4,11,Friday,4,False,True,False,True,False,False,1,0
2025-04-12,2025,4,12,Saturday,5,True,False,False,False,False,False,1,1
2025-04-13,2025,4,13,Sunday,6,True,False,False,False,False,False,1,2
2025-04-14,2025,4,14,Monday,0,False,False,False,True,False,False,1,3
2025-04-15,2025,4,15,Tuesday,1,False,True,False,True,False,False,1,0
2025-04-16,2025,4,16,Wednesday,2,False,False,False,True,False,True,2,1
2025-04-17,2025,4,17,Thursday,3,False,False,True,False,False,True,2,2
2025-04-18,2025,4,18,Friday,4,False,True,True,False,True,False,2,0
2025-04-19,2025,4,19,Saturday,5,True,False,False,False,True,False,2,1
2025-04-20,2025,4,20,Sunday,6,True,False,False,False,False,False,2,2
2025-04-21,2025,4,21,Monday,0,False,False,False,True,False,False,2,3
2025-04-22,2025,4,22,Tuesday,1,False,False,False,True,False,False,2,4
2025-04-23,2025,4,23,Wednesday,2,False,False,False,True,False,False,2,5
2025-04-24,2025,4,24,Thursday,3,False,False,False,True,False,False,2,6
2025-04-25,2025,4,25,Friday,4,False,True,False,True,False,False,2,0
2025-04-26,2025,4,26,Saturday,5,True,False,False,False,False,False,2,1
2025-04-27,2025,4,27,Sunday,6,True,False,False,False,False,False,2,2
2025-04-28,2025,4,28,Monday,0,False,False,False,True,False,False,2,3
2025-04-29,2025,4,29,Tuesday,1,False,False,False,True,False,False,2,4
2025-04-30,2025,4,30,Wednesday,2,False,True,False,True,False,True,2,0
2025-05-01,2025,5,1,Thursday,3,False,True,True,False,False,False,1,0
2025-05-02,2025,5,2,Friday,4,False,True,False,True,True,False,1,0
2025-05-03,2025,5,3,Saturday,5,True,False,False,False,False,False,1,1
2025-05-04,2025,5,4,Sunday,6,True,False,False,False,False,False,1,2
2025-05-05,2025,5,5,Monday,0,False,False,False,True,False,False,1,3
2025-05-06,2025,5,6,Tuesday,1,False,False,False,True,False,False,1,4
2025-05-07,2025,5,7,Wednesday,2,False,False,False,True,False,False,1,5
2025-05-08,2025,5,8,Thursday,3,False,False,False,True,False,False,1,6
2025-05-09,2025,5,9,Friday,4,False,True,False,True,False,False,1,0
2025-05-10,2025,5,10,Saturday,5,True,False,False,False,False,False,1,1
2025-05-11,2025,5,11,Sunday,6,True,False,False,False,False,False,1,2
2025-05-12,2025,5,12,Monday,0,False,False,False,True,False,False,1,3
2025-05-13,2025,5,13,Tuesday,1,False,False,False,True,False,False,1,4
2025-05-14,2025,5,14,Wednesday,2,False,False,False,True,False,False,1,5
2025-05-15,2025,5,15,Thursday,3,False,True,False,True,False,False,1,0
2025-05-16,2025,5,16,Friday,4,False,True,False,True,False,False,2,0
2025-05-17,2025,5,17,Saturday,5,True,False,False,False,False,False,2,1
2025-05-18,2025,5,18,Sunday,6,True,False,False,False,False,False,2,2
